trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-64.52333466273265,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-40.890660593505594,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,8,-81.88951134132914,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-58.777875331936336,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-239.61785461900814,"{0: 6, 1: 1, 2: 8, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-96.9978739663513,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-129.33972464216637,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-93.00978056876896,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-27.345582409507045,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-190.91615770168568,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-25.33735730605644,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,3,-29.940711045045322,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,2,-163.7518946876559,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-83.63638848116938,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-150.51394097196285,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,14,-3.7126259090309732,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
