trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-115.03614536741803,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-68.27219287943205,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",35,1,-150.65325153676545,"{0: 20, 1: 5, 2: 7, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-157.45636886509777,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,1,-214.20841893356783,"{0: 10, 1: 4, 2: 5, 3: 2, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-104.3034422847335,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-151.17851375474532,"{0: 7, 1: 2, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",30,0,-153.07273531246904,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,11,-19.24624489583564,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-195.2867682871843,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-190.17836835631456,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-133.60130768785245,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-154.0442875806306,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-78.18657773080724,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,0,-72.08289374466678,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-121.40019154369716,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,0,-93.38927490210354,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-127.53894209949003,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,8,-82.80903899863716,"{0: 4, 1: 4, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,7,-12.210146333013792,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-81.27259133083774,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,0,-220.2325581225696,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",30,0,-75.74354988152938,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-87.50979877339898,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-80.23594500139332,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,15,1.6492764393537427,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-51.41376491219125,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",30,0,-196.97306019258662,"{0: 21, 1: 2, 2: 0, 3: 3, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-76.22799559446229,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,9,1.424667078978694,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",35,8,-49.748510932785734,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",30,0,-106.6530673116907,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-17.457657149885353,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-42.49424985339627,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,11,-144.65330737424338,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 3}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,0,-88.63939796015399,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",20,0,-41.679711153840394,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,1,-124.15715648707456,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,0,-111.85910376676468,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-127.92551556951655,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",35,22,7.798711053716983,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,6,-103.08880319963491,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-34.47885279315007,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",30,0,-60.65037318230398,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-55.96811773321628,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",30,13,-10.427856349694029,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,7,-62.4511816374544,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-47.92286372945723,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",20,0,-64.29976708467048,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,3,-77.9114175248873,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,0,-21.174401476868105,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,6,-21.4827529122319,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,3,-24.611578696333467,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,15,2.5600246627130536,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,0,-103.62781968024608,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,7,-35.968991492267584,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,6,-12.031001789798525,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,1,-108.46189621286895,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,0,-44.82163169628535,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
