trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.38914940019083,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,5,-54.79537321933493,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.40220811239118,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.05428668903859,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.77211162886402,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.92968369625032,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-224.25741065236278,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.01758326494816,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.21184014533614,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.56345517808276,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.60120955640585,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.82889009118529,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.1178398190042,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.55965977213283,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.54425450123637,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.94143347662556,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.26455837584335,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.9032192552709,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.6253018952937,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.70774593624414,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.0584406078485,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.17644827545877,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.38356450893224,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.27687348674185,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.38023991525115,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.361167208254805,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.06935150949133,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.6201317597158,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.30259711471234,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.8679016630289,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
